frame_idx,ts_ms,pattern,hip_dist_px,knee_dist_px,ankle_dist_px,la_x,la_y,ra_x,ra_y,lk_x,lk_y,rk_x,rk_y,lh_x,lh_y,rh_x,rh_y,la_conf,ra_conf,lk_conf,rk_conf,lh_conf,rh_conf
357,6935,all_collapse,2.6,5.5,13.3,407.1,1063.3,416.0,1053.4,443.0,950.0,442.9,944.5,456.3,821.0,458.4,822.5,0.2545,0.1378,0.1838,0.1378,0.9997,0.9997
358,6955,all_collapse,15.0,40.4,26.8,399.6,1058.1,377.5,1042.9,441.2,949.2,403.2,935.5,456.8,816.6,442.0,819.3,0.2482,0.1302,0.1851,0.1308,0.9997,0.9998
359,6974,hip+ankle,10.1,54.5,43.7,421.7,1073.0,386.8,1046.6,447.5,946.4,394.7,933.1,448.4,815.5,438.6,818.1,0.2747,0.1402,0.2187,0.1642,0.9998,0.9998
363,7052,all_collapse,14.6,14.3,16.3,349.8,922.4,343.4,937.5,375.1,804.8,360.8,804.4,431.7,752.6,424.9,765.5,0.3077,0.1279,0.2323,0.1454,0.9998,0.9998
367,7130,all_collapse,23.5,21.9,19.1,683.8,823.7,698.5,835.9,546.2,786.9,561.0,803.0,449.2,735.2,431.4,719.8,0.3494,0.1664,0.2584,0.1544,0.9998,0.9998
370,7188,all_collapse,7.6,17.7,36.3,696.8,796.3,664.3,780.3,543.8,775.1,526.6,770.8,410.8,729.6,403.2,730.5,0.4935,0.2863,0.3946,0.1856,0.9998,0.9998
374,7266,all_collapse,18.9,35.1,31.4,713.5,821.8,682.2,819.7,560.6,793.8,528.7,779.4,487.2,675.2,474.5,689.2,0.583,0.2594,0.4222,0.1376,0.9998,0.9998
375,7285,all_collapse,14.2,22.0,23.4,710.4,829.9,687.1,828.1,559.9,794.2,540.3,784.3,483.6,684.6,472.4,693.3,0.5786,0.2454,0.3892,0.1251,0.9997,0.9997
376,7305,all_collapse,12.6,17.9,21.4,708.4,832.5,687.1,830.2,558.2,794.8,541.2,789.1,494.0,683.0,482.3,687.8,0.5886,0.2292,0.3618,0.1142,0.9996,0.9997
377,7324,all_collapse,15.1,19.9,24.1,704.8,849.7,681.3,844.3,557.5,801.8,541.3,790.3,493.0,688.6,478.0,690.4,0.6066,0.2344,0.3499,0.1048,0.9996,0.9997
378,7343,all_collapse,20.1,28.8,35.4,639.9,845.6,675.2,846.2,557.0,763.5,546.6,790.4,491.0,668.2,480.2,685.1,0.557,0.2231,0.3171,0.096,0.9996,0.9997
380,7382,all_collapse,34.3,22.3,39.0,663.9,869.5,631.8,847.4,536.8,768.7,536.5,791.1,491.3,646.5,482.0,679.5,0.5855,0.2775,0.3683,0.1743,0.9997,0.9997
397,7712,all_collapse,12.6,40.9,32.0,491.2,1122.0,520.1,1108.4,493.1,986.2,531.0,970.5,471.0,857.9,483.6,858.2,0.5673,0.4617,0.4518,0.3996,0.9996,0.9997
